at_0,de_1,de_2,de_3,id_100,id_101,id_103,id_200,id_500
,,,,108,,,1998,
,,,,108,,,1999,
,,,,108,,,2000,
,,,,108,,,2001,
,,,,108,,,2002,
,,,,108,,,2003,
,,,,108,,,2004,
,,,,108,,,2005,
,,,,108,,,2006,
,,,,108,,,2007,
,,,,108,,,2008,
,,,,108,,,2009,
,,,,108,,,2010,
,,,,108,,,2011,
55.071247,70.328285,85.900673,82.163239,108,Burundi,BDI,2012,108.2012
,,,,108,,,2013,
,71.48069,92.058067,84.603889,108,Burundi,BDI,2014,108.2014
,,,,108,,,2015,
,,,,112,,,1995,
,,,,112,,,1996,
,,,,112,,,1997,
,,,,112,,,1998,
,,,,112,,,1999,
41.85022,37.012985,72.759384,45.919609,112,Belarus,BLR,2000,112.2
,46.72435,,65.364281,112,Belarus,BLR,2001,112.2001
,,,,112,,,2002,
,,,,112,,,2003,
55.383331,54.711357,67.973854,58.668114,112,Belarus,BLR,2004,112.2004
,,,,112,,,2005,
,,,,112,,,2006,
,,,,112,,,2007,
,,,,112,,,2008,
,,,,112,,,2009,
,,,,112,,,2010,
,,,,112,,,2011,
,,,,112,,,2012,
,,,,112,,,2013,
,,,,112,,,2014,
,,,,112,,,2015,
,,,,120,,,1995,
,,,,120,,,1996,
,,,,120,,,1997,
,,,,120,,,1998,
,,,,120,,,1999,
,,,19.535376,120,Cameroon,CMR,2000,120.2
,,,,120,,,2001,
,,,,120,,,2002,
,,,20.212767,120,Cameroon,CMR,2003,120.2003
,,58.503399,30.76923,120,Cameroon,CMR,2004,120.2004
,56.275303,81.203514,32.35294,120,Cameroon,CMR,2005,120.2005
,,,,120,,,2006,
,59.170013,79.710144,11.967546,120,Cameroon,CMR,2007,120.2007
,,,,120,,,2008,
,,,,120,,,2009,
,,,,120,,,2010,
,,,,120,,,2011,
,,,,120,,,2012,
16.666666,52.646503,76.998222,57.032116,120,Cameroon,CMR,2013,120.2013
,,,,120,,,2014,
,54.936306,79.354836,64.567772,120,Cameroon,CMR,2015,120.2015
,,,,124,,,1995,
,,,,124,,,1996,
,60.922787,,74.695961,124,Canada,CAN,1997,124.1997
,,,,124,,,1998,
,,,,124,,,1999,
43.603714,57.336956,74.198441,77.213928,124,Canada,CAN,2000,124.2
,,,,124,,,2001,
,,,,124,,,2002,
,66.205307,,77.675842,124,Canada,CAN,2003,124.2003
50.895138,63.289948,80.577972,80.913704,124,Canada,CAN,2004,124.2004
,66.394279,80.569855,67.528435,124,Canada,CAN,2005,124.2005
,,,,124,,,2006,
,74.588478,83.419868,77.419357,124,Canada,CAN,2007,124.2007
,,,,124,,,2008,
,,,,124,,,2009,
,,,,124,,,2010,
,,,,124,,,2011,
,,,,124,,,2012,
,,,,124,,,2013,
66.710609,60.294437,81.147003,50.472424,124,Canada,CAN,2014,124.2014
,,,,124,,,2015,
,,,,132,,,1995,
,,,,132,,,1996,
,,,,132,,,1997,
,,,,132,,,1998,
,,,,132,,,1999,
,,,,132,,,2000,
,,,,132,,,2001,
,,,,132,,,2002,
,,,,132,,,2003,
,,,,132,,,2004,
3.4987795,66.30336,89.88604,68.93705,132,Cabo Verde,CPV,2005,132.2005
,,,,132,,,2006,
,,,,132,,,2007,
32.053333,65.810699,90.174675,74.383606,132,Cabo Verde,CPV,2008,132.2008
,,,,132,,,2009,
,,,,132,,,2010,
7.3604059,64.621017,88.675217,78.445656,132,Cabo Verde,CPV,2011,132.2011
,,,,132,,,2012,
,,,,132,,,2013,
,53.934353,92.207207,64.750168,132,Cabo Verde,CPV,2014,132.2014
,,,,132,,,2015,
,41.862415,67.731094,81.881531,152,Chile,CHL,1995,152.1995
19.690041,38.836067,69.422913,74.223038,152,Chile,CHL,1996,152.1996
17.974684,42.74744,73.053894,73.405212,152,Chile,CHL,1997,152.1997
22.48542,39.742489,68.548386,71.043167,152,Chile,CHL,1998,152.1998
,,,,152,,,1999,
18.580624,47.799896,71.322388,69.08432,152,Chile,CHL,2000,152.2
,,,,152,,,2001,
,,,,152,,,2002,
,,,,152,,,2003,
,,,,152,,,2004,
14.017094,46.941761,77.240776,79.586334,152,Chile,CHL,2005,152.2005
27.816475,49.353851,76.385536,74.753807,152,Chile,CHL,2006,152.2006
17.083046,42.823872,63.222416,65.520943,152,Chile,CHL,2007,152.2007
33.022854,46.188538,72.65757,60.62542,152,Chile,CHL,2008,152.2008
15.656566,52.884613,75.611885,80.744186,152,Chile,CHL,2009,152.2009
34.109135,53.68977,80.966248,68.389908,152,Chile,CHL,2010,152.201
14.408818,41.437569,76.48069,68.637856,152,Chile,CHL,2011,152.2011
62.545845,48.91008,82.196724,64.134201,152,Chile,CHL,2012,152.2012
,,,,152,,,2013,
48.654484,52.700829,79.166664,63.592445,152,Chile,CHL,2014,152.2014
17.376492,47.619045,76.504425,63.191761,152,Chile,CHL,2015,152.2015
,,,,156,,,1995,
,,,,156,,,1996,
,,,,156,,,1997,
,,,,156,,,1998,
,,,,156,,,1999,
,,,,156,,,2000,
,,,,156,,,2001,
,,,,156,,,2002,
,,,,156,,,2003,
,,,,156,,,2004,
,,,,156,,,2005,
,,,,156,,,2006,
,,,,156,,,2007,
38.578789,68.143883,51.990124,62.253227,156,China,CHN,2008,156.2008
,,,,156,,,2009,
,,,,156,,,2010,
,,,,156,,,2011,
,,,,156,,,2012,
,,,,156,,,2013,
,,,,156,,,2014,
,,,,156,,,2015,
,,,,158,,,1995,
,58.918404,,70.139534,158,Taiwan,TWN,1996,158.1996
,,,,158,,,1997,
,,,,158,,,1998,
,,,,158,,,1999,
,,,41.304348,158,Taiwan,TWN,2000,158.2
,,,,158,,,2001,
,,,,158,,,2002,
,40.511086,,56.896553,158,Taiwan,TWN,2003,158.2003
35.691196,54.242973,67.215103,51.673641,158,Taiwan,TWN,2004,158.2004
,84.242424,64.033264,46.583851,158,Taiwan,TWN,2005,158.2005
43.264908,52.538223,58.37368,47.377205,158,Taiwan,TWN,2006,158.2006
,,,,158,,,2007,
,,,,158,,,2008,
,,,,158,,,2009,
38.759392,58.472755,63.761467,75.50882,158,Taiwan,TWN,2010,158.201
,,,,158,,,2011,
30.222956,57.68935,,53.386131,158,Taiwan,TWN,2012,158.2012
,,,,158,,,2013,
,,,,158,,,2014,
,,,,158,,,2015,
,,,,170,,,1995,
23.148148,32.352116,70.152412,15.317668,170,Colombia,COL,1996,170.1996
18.990612,41.532825,77.536232,13.097345,170,Colombia,COL,1997,170.1997
20.603449,35.427422,70.625565,22.739725,170,Colombia,COL,1998,170.1998
,,,,170,,,1999,
16.666666,37.607597,64.562668,31.865063,170,Colombia,COL,2000,170.2
,,,,170,,,2001,
,,,,170,,,2002,
,,,,170,,,2003,
42.718292,45.504459,73.882477,50.722641,170,Colombia,COL,2004,170.2004
32.204662,47.497261,72.046837,39.962959,170,Colombia,COL,2005,170.2005
41.796463,46.509972,73.882484,43.517265,170,Colombia,COL,2006,170.2006
36.262718,51.284096,73.442657,47.817024,170,Colombia,COL,2007,170.2007
38.474697,49.490627,76.529755,52.813705,170,Colombia,COL,2008,170.2008
41.262321,50.254059,75.033821,39.626461,170,Colombia,COL,2009,170.2009
41.720058,48.571041,79.946655,46.937851,170,Colombia,COL,2010,170.201
41.040897,44.432697,79.359238,46.791382,170,Colombia,COL,2011,170.2011
33.425835,51.453487,79.405441,45.669884,170,Colombia,COL,2012,170.2012
37.361973,39.438805,71.660805,37.765717,170,Colombia,COL,2013,170.2013
63.251923,42.32288,78.173149,33.648647,170,Colombia,COL,2014,170.2014
15.378151,35.35004,74.664879,41.248096,170,Colombia,COL,2015,170.2015
,,,,188,,,1995,
